,Book,BookChapter,Negative,Neutral,Positive
1,2,1,0.6137548,0.26416886,0.12207642
2,2,2,0.6358594,0.27105168,0.09308894
3,2,3,0.28054222,0.4039995,0.3154582
4,2,4,0.38289613,0.43711063,0.17999321
5,2,5,0.34795308,0.3972809,0.25476617
6,2,6,0.83797747,0.12767908,0.034343388
7,2,7,0.5396933,0.32381704,0.13648969
8,2,8,0.7927872,0.17288353,0.034329344
9,2,9,0.19088173,0.6208019,0.18831639
10,2,10,0.60179824,0.24103937,0.15716238
11,2,11,0.68046486,0.22760186,0.09193329
12,2,12,0.49337167,0.35392922,0.15269919
13,2,13,0.6076666,0.2689649,0.12336842
14,2,14,0.49019518,0.37600744,0.13379727
15,2,15,0.17107818,0.5788231,0.2500987
16,2,16,0.4525687,0.3993635,0.14806777
17,2,17,0.4656561,0.38244691,0.15189715
