,Chapter,word,Occurences
0,2,principle,2
1,8,reason,1
2,9,truth,1
3,11,reason,1
4,13,reason,1
5,16,judgement,3
6,22,ignorance,1
7,27,mind,1
8,28,reason,1
9,30,mind,1
10,34,mind,1
11,37,mind,2
12,41,reason,1
13,46,mind,1
14,47,mind,1
15,53,reason,1
16,54,mind,1
17,55,reason,4
18,55,judgement,1
19,58,mind,1
20,60,mind,1
21,62,judgement,1
22,62,principle,1
23,63,truth,1
24,64,reason,1
25,66,ignorance,1
26,66,mind,1
27,67,mind,1
28,68,reason,1
29,68,judgement,2
30,68,mind,1
31,72,reason,2
32,75,reason,1
33,75,mind,1
34,75,principle,1
